id,created_at,closed_at,status,project_code,project_name,station_name,voltage_level,camera_location,fault_type_code,fault_type,description,source_type,source_record_key
88,2023-05-22,2023-05-22,closed,unified,统一平台,110kV碧湖变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:6c73d1e588aedf6a4e33c302b5672c909ef3bcdc115d0c662bfdf36edb6be4c0
89,2023-05-23,2023-05-23,closed,unified,统一平台,110kV百果变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:6edb5dff54fd9f996afbe3f7341705488cec1bbe195171552e56063010c513b6
90,2023-05-24,2023-05-24,closed,unified,统一平台,110kV壶镇变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:dbbfee48c47087112c18ad47fcb483c100a09aaa0cadd9bf5030586160e83511
91,2023-05-25,2023-05-25,closed,unified,统一平台,110kV里隆变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:24fcc8345209c764033cbc3bdc0633ddc359d78b88c137e598712153a2cf5b9a
92,2023-05-26,2023-05-26,closed,unified,统一平台,110kV雁门变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:af865609012fee15a40032701171f55edc98c18afc360813f157c7c93d49e282
93,2023-05-29,2023-05-29,closed,unified,统一平台,110kV东山变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:bb2e362aa1d1f86561df861306d825059d6693365f8ba29bdd77dc58358dc2cd
94,2023-05-30,2023-05-30,closed,unified,统一平台,220kV河阳变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:6c885267c1dc3f8c73b9dc8ef1b3b5b685092fab20d915755da1d1b0f0172740
95,2023-05-31,2023-05-31,closed,unified,统一平台,110kV黄龙变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:38bd3d0923e9aced60bb3eb80cdc32bc23b2fca104968d81cb44ba0e1d288bd1
96,2023-05-31,2023-05-31,closed,unified,统一平台,110kV问渔变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:f8c098a22bfcd9b28840e6989ca6522a3f4f2719eddf690a7d2c773f1e74fbaf
97,2023-06-01,2023-06-01,closed,unified,统一平台,110kV缙云变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:ec07ecbebf31edcd309eea0be7669b86fad3b1ba2a6f1fdfa0222aa061e0dcdf
98,2023-06-05,2023-06-05,closed,unified,统一平台,110kV东源变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:45bfdaba7a736bd78472c461ef3e6526e4436e5d5aa31ab012a8727661236007
99,2023-06-05,2023-06-05,closed,unified,统一平台,110kV油竹变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:de39530e74077ab7fc647ad4fb3e43e7400b2081456b018787561e5d1eff7340
100,2023-06-06,2023-06-06,closed,unified,统一平台,110kV高湖变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:f7ffbebc9fe1058235dc2cd0de05e421a79c6372173a9a69a0d6251785c04491
101,2023-06-06,2023-06-06,closed,unified,统一平台,110kV侨乡变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:45f4b5ccc730e29bbe88672d7f5d62fb817c3193aeced399c99c074931163219
102,2023-06-07,2023-06-07,closed,unified,统一平台,220kV海口变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:d326a324a33d53c961032024128694069446cb57de3123d1200322485194bcea
103,2023-06-12,2023-06-12,closed,unified,统一平台,220kV宏山变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:76e472db63b39dedcce5f34c71121e055e52ff40a261473cac6d889041eced5d
104,2023-06-13,2023-06-13,closed,unified,统一平台,220kV鹤溪变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:57a479a3320857e94e548a5e40557581d2b48fbe7e773128846535d29683fc64
105,2023-06-14,2023-06-14,closed,unified,统一平台,220kV遂昌变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:bed3da483157df5607c9c74f03c3410e311960f17e678d0c15dc597c7e918a09
106,2023-06-15,2023-06-15,closed,unified,统一平台,220kV松阳变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:ac8abc78b1b3db5d9bd2e69fc5d7abe9c655c83ab4f25ae4083f0457834144eb
107,2023-06-19,2023-06-19,closed,unified,统一平台,220kV濛洲变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升,import_worklog,unified:import_worklog:22ae3cdb6c98855093087fd5ea0fa6c15ba0b8f4f68f6c973baef25911b96890
