fault_id,project_code,station_id,station_name,created_at,closed_at,current_camera_id,current_camera_slot_id,current_camera_location_text,source_text,parsed_location_hint,derived_location_hint,match_status,target_slot_id,target_camera_id,target_slot_code,target_slot_location_desc,target_camera_location_desc,target_channel_number,target_project_device_code,target_score,ambiguous_options
255,unified,76,220kV睦田变,2024/8/27,2024/8/27,,,1#主变东侧,1#主变东侧摄像机故障更换,,1#主变东侧,unresolved,,,,,,,,,
257,unified,20,110kV壶镇变,2024/8/29,2024/8/29,,,1#主变南侧,1#主变南侧摄像机故障，更换光纤收发器电源,,1#主变南侧,matched,404,404,LEGACY_unified_20_36_1#主变南侧-4#球机_0f2143f1a3,1#主变南侧-4#球机,1#主变南侧-4#球机,4,4,8,
258,unified,70,110kV陶庄变,2024/9/4,2024/9/4,,,,更换一台故障电交换机,,,unresolved,,,,,,,,,
259,inspection,69,220kV金亭变,2024/9/4,2024/9/4,,,,远程智能巡视220kV场地电源汇聚箱3#集中电源故障更换,,,unresolved,,,,,,,,,
261,unified,68,220kV海口变,2024/9/9,2024/9/9,,,,继保室南侧21#摄像机故障更换,,继保室南侧,matched,1449,1449,LEGACY_unified_68_18_继保室南侧-21#球_7c762a55a9,继保室南侧-21#球,继保室南侧-21#球,18,18,9,
264,inspection,69,220kV金亭变,2024/9/18,2024/9/18,,,,1#主变110kV开关南侧36#云台故障更换,,,unresolved,,,,,,,,,
267,unified,40,110kV桃园变,2024/9/20,2024/9/20,,,,电容器东北侧5#摄像机故障更换,,电容器东北侧,unresolved,,,,,,,,,
269,unified,44,110kV金溪变,2024/9/25,2024/9/25,,,,1#主变摄像机故障更换,,,matched,908,908,LEGACY_unified_44_34_1#主变北侧-2#球机_ff53ba116b,1#主变北侧-2#球机,1#主变北侧-2#球机,2,2,8,
270,unified,5,110kV屏都变,2024/9/26,2024/9/26,,,,大门枪机故障更换,,,matched,114,114,LEGACY_unified_5_8_大门-8#枪机_7fee08f207,大门-8#枪机,大门-8#枪机,8,8,4,
271,unified,1,110kV云和变,2024/9/27,2024/9/27,,,,12路摄像机掉线更换光纤收发器插槽电源,,,unresolved,,,,,,,,,
273,unified,68,220kV海口变,2024/10/10,2024/10/10,,,,继保室北侧18#摄像机故障更换,,继保室北侧,matched,1453,1453,LEGACY_unified_68_23_继保室北侧_补强_-30#球_e77392c965,继保室北侧（补强）-30#球,继保室北侧（补强）-30#球,23,23,11,
274,unified,65,220kV枫树变,2024/10/11,2024/10/11,,,,35kV开关室西南侧15#摄像机故障更换,,35kV开关室西南侧,matched,1371,1371,LEGACY_unified_65_19_35kV开关室西南侧-19#球机_bd18aa52e9,35kV开关室西南侧-19#球机,35kV开关室西南侧-19#球机,19,19,13,
276,unified,37,110kV高溪变,2024/10/16,2024/10/16,,,110kVGIS室西侧,110kVGIS室西侧摄像机故障更换,,110kVGIS室西侧,matched,765,765,LEGACY_unified_37_55_110kVGIS室西侧-23#球机_b0c3ede0a6,110kVGIS室西侧-23#球机,110kVGIS室西侧-23#球机,23,23,14,
277,unified,28,110kV雁门变,2024/10/22,2024/10/22,,,,硬盘录像机硬盘故障更换1块硬盘,,,unresolved,,,,,,,,,
278,unified,59,220kV仙都变,2024/10/23,2024/10/23,,,,电容器场地东北侧（黑光）摄像机电源接口松动，重新固定后恢复,,,unresolved,,,,,,,,,
280,unified,3,110kV椤林变,2024/10/28,2024/10/28,,,,图像监控验收,,,unresolved,,,,,,,,,
284,unified,48,110kV温溪变,2024/11/5,2024/11/5,,,,电容器室#7摄像机光纤断裂，重新布线,,电容器室,matched,968,968,LEGACY_unified_48_39_电容器室-7#球机_c127213515,电容器室-7#球机,电容器室-7#球机,7,7,6,
285,unified,43,110kV石练变,2024/11/6,2024/11/6,,,,#2主变东北侧2#摄像机故障更换,,#2主变东北侧,unresolved,,,,,,,,,
287,unified,17,110kV黄南变,2024/11/8,2024/11/8,,,,继保室大门5#枪机异常断电，备件不足未能处理,,继保室大门,unresolved,,,,,,,,,
288,unified,76,220kV睦田变,2024/11/11,2024/11/11,,,,35kV开关室外墙东侧14#摄像机故障更换,,35kV开关室外墙东侧,unresolved,,,,,,,,,
289,unified,20,110kV壶镇变,2024/11/18,2024/11/18,,,,电容器室西南侧9#摄像机故障，人员不足未更换,,电容器室西南侧,unresolved,,,,,,,,,
292,unified,80,220kV汤公变,2024/11/26,2024/11/26,,,,图像监控验收,,,unresolved,,,,,,,,,
293,unified,59,220kV仙都变,2024/12/3,2024/12/3,,,电容器场地西北侧,就地继保室南侧、电容器场地西北侧摄像机故障更换,,电容器场地西北侧,unresolved,,,,,,,,,
294,unified,20,110kV壶镇变,2024/12/4,2024/12/4,,,,电容器西南侧9#摄像机故障更换,,电容器西南侧,matched,409,409,LEGACY_unified_20_41_电容器西南侧--#9球机_4b0f7b0a70,电容器西南侧--#9球机,电容器西南侧--#9球机,9,9,8,
295,unified,32,110kV海潮变,2024/12/5,2024/12/5,,,10kV开关室,10kV开关室摄像机故障更换,,10kV开关室,matched,666,666,LEGACY_unified_32_38_10kV开关室西北侧-6#球机_5f3e15f461,10kV开关室西北侧-6#球机,10kV开关室西北侧-6#球机,6,6,12,
296,unified,23,110kV缙云变,2024/12/17,2024/12/17,,,110kV场地东侧,110kV场地东侧摄像机故障更换,,110kV场地东侧,unresolved,,,,,,,,,
297,unified,9,110kV景宁变,2024/12/18,2024/12/18,,,,光纤收发器电源故障更换,,,unresolved,,,,,,,,,
298,unified,68,220kV海口变,2025/1/7,2025/1/7,,,,35kV开关室北侧13#摄像机故障更换,,35kV开关室北侧,matched,1442,1442,LEGACY_unified_68_11_35kV开关室北侧--13#球_a1cd8cc295,35kV开关室北侧--13#球,35kV开关室北侧--13#球,11,11,13,
300,unified,13,110kV叶水变,2025/1/9,2025/1/9,,,,大门外枪机故障更换,,,unresolved,,,,,,,,,
302,unified,66,110kV水阁变,2025/1/15,2025/1/15,,,1#主变南侧,1#主变南侧摄像机故障更换,,1#主变南侧,matched,1390,1390,LEGACY_unified_66_36_1#主变南侧-4#球机_0f2143f1a3,1#主变南侧-4#球机,1#主变南侧-4#球机,4,4,8,
304,unified,29,110kV黄龙变,2025/1/17,2025/1/17,,,35kV开关室东南侧,35kV开关室东南侧摄像机故障更换,,35kV开关室东南侧,matched,627,627,LEGACY_unified_29_46_35kV开关室东南侧-15#球机_af1e33f602,35kV开关室东南侧-15#球机,35kV开关室东南侧-15#球机,14,14,13,
305,unified,61,220kV好溪变,2025/2/10,2025/2/10,,,,全站离线抢修,,,unresolved,,,,,,,,,
306,unified,78,220kV龙南变,2025/2/25,2025/2/25,,,,水泵房49#摄像机故障，因无法找到电源位置未能更换。,,,unresolved,,,,,,,,,
307,unified,51,110kV秋桐变,2025/2/26,2025/2/26,,,,110kVGIS室东南侧23#摄像机故障更换,,110kVGIS室东南侧,unresolved,,,,,,,,,
311,unified,71,220kV青田变,2025/3/19,2025/3/19,,,,智能巡视更换故障交换机,,,unresolved,,,,,,,,,
312,unified,69,220kV金亭变,2025/3/25,2025/3/25,,,,图像监控更换三层交换机,,,unresolved,,,,,,,,,
313,unified,60,110kV四都变,2025/3/26,2025/3/26,,,,图像监控更换三层交换机,,,unresolved,,,,,,,,,
314,unified,55,110kV牛门变,2025/3/27,2025/3/27,,,,图像监控更换三层交换机,,,unresolved,,,,,,,,,
315,unified,78,220kV龙南变,2025/3/28,2025/3/28,,,,水泵房49#摄像机故障更换,,,unresolved,,,,,,,,,
316,unified,71,220kV青田变,2025/4/7,2025/4/7,,,,智能巡视后续工作配置交换机等,,,unresolved,,,,,,,,,
317,unified,14,110kV延庆变,2025/4/9,2025/4/9,,,,110kV西侧场地2#摄像机光纤收发器电源故障更换,,110kV西侧场地,unresolved,,,,,,,,,
319,unified,54,110kV官桥变,2025/4/15,2025/4/15,,,,#2主变东侧7#摄像机故障更换,,#2主变东侧,unresolved,,,,,,,,,
320,unified,31,110kV岩泉变,2025/4/16,2025/4/16,,,室外大门东侧,室外大门东侧摄像机集中电源接口故障，重新调换后正常,,室外大门东侧,unresolved,,,,,,,,,
322,unified,14,110kV延庆变,2025/4/22,2025/4/22,,,,110kV西侧场地2#摄像机水晶头松动，重新制作后恢复,,110kV西侧场地,unresolved,,,,,,,,,
324,unified,67,220kV河阳变,2025/4/24,2025/4/24,,,,更换光纤收发器集中电源,,,unresolved,,,,,,,,,
325,unified,79,220kV松阳变,2025/4/28,2025/4/28,,,,更换光纤收发器集中电源,,,unresolved,,,,,,,,,
326,unified,54,110kV官桥变,2025/4/29,2025/4/29,,,,#2主变东侧7#摄像机线路故障，后续更换,,#2主变东侧,unresolved,,,,,,,,,
330,unified,68,220kV海口变,2025/5/13,2025/5/13,,,,更换大门北侧17#摄像机,,更换大门北侧,matched,1446,1446,LEGACY_unified_68_15_大门北侧-17#球_10145fec0b,大门北侧-17#球,大门北侧-17#球,15,15,8,
331,unified,68,220kV海口变,2025/5/27,2025/5/27,,,,更换主控室东侧19#摄像机,,更换主控室东侧,matched,1448,1448,LEGACY_unified_68_17_主控室东侧-19#球_0e90365104,主控室东侧-19#球,主控室东侧-19#球,17,17,9,
332,unified,50,110kV石郭变,2025/5/28,2025/5/28,,,,更换#1主变东侧8#摄像机,,更换#1主变东侧,unresolved,,,,,,,,,
333,unified,49,110kV港头变,2025/6/9,2025/6/9,,,,场地3、6号立杆摄像机配合电建改造拆除,,,unresolved,,,,,,,,,
334,unified,71,220kV青田变,2025/6/20,2025/6/20,,,35kV电容器室东侧,110kV场地南侧、#1主变南侧、主控室东侧、35kV电容器室东侧摄像机因交换机回路导致故障,,35kV电容器室东侧,matched,1549,1549,LEGACY_unified_71_29_35kV电容器室东侧-29#球_7d31f609ff,35kV电容器室东侧-29#球,35kV电容器室东侧-29#球,29,29,14,
336,unified,54,110kV官桥变,2025/6/25,2025/6/25,,,,#2主变东侧7#摄像机网线故障，重新放线后正常,,#2主变东侧,unresolved,,,,,,,,,
337,unified,46,110kV侨乡变,2025/6/26,2025/6/26,,,,更换10kV开关室南侧故障摄像机,,,matched,940,940,LEGACY_unified_46_39_10kV开关室南侧-7#球机_a2106201fe,10kV开关室南侧-7#球机,10kV开关室南侧-7#球机,7,7,11,
338,unified,68,220kV海口变,2025/6/27,2025/6/27,,,,更换蓄电池室1#北侧23#故障摄像机,,,unresolved,,,,,,,,,
340,unified,23,110kV缙云变,2025/7/11,2025/7/11,,,,35kV外墙17#摄像机故障更换,,,unresolved,,,,,,,,,
341,inspection,71,220kV青田变,2025/7/14,2025/7/14,,,,智能巡视图像监控4#设备箱风扇故障安装,,,unresolved,,,,,,,,,
342,unified,78,220kV龙南变,2025/7/15,2025/7/15,,,,1#蓄电池室北侧28#摄像机为防爆摄像机，备件型号规格不符无法安装,,1#蓄电池室北侧,unresolved,,,,,,,,,
344,unified,68,220kV海口变,2025/7/22,2025/7/22,,,,#2蓄电池室北侧23#摄像机故障更换，硬盘增加一块8T,,#2蓄电池室北侧,unresolved,,,,,,,,,
348,inspection,62,110kV张村变,2025/8/6,2025/8/6,,,,智能巡视设备现场调试接入,,,unresolved,,,,,,,,,
349,inspection,36,110kV碧湖变,2025/8/7,2025/8/7,,,,智能巡视设备现场调试接入,,,unresolved,,,,,,,,,
350,inspection,60,110kV四都变,2025/8/8,2025/8/8,,,,智能巡视设备现场调试接入,,,unresolved,,,,,,,,,
352,unified,29,110kV黄龙变,2025/8/11,2025/8/11,,,,#1主变南侧3#摄像机故障更换,,#1主变南侧,unresolved,,,,,,,,,
354,unified,54,110kV官桥变,2025/8/19,2025/8/19,,,,GIS室北侧12#摄像机故障更换,,GIS室北侧,unresolved,,,,,,,,,
356,unified,6,110kV庆元变,2025/8/27,2025/8/27,,,110kV场地东侧,110kV场地东侧摄像机故障更换,,110kV场地东侧,matched,123,123,LEGACY_unified_6_3_110kV场地东侧-3#球机_b5bfe7a8e2,110kV场地东侧-3#球机,110kV场地东侧-3#球机,3,3,11,
357,unified,78,220kV龙南变,2025/8/28,2025/8/28,,,,电容器室东侧13#摄像机电源线损坏更换后正常,,电容器室东侧,matched,1752,1752,LEGACY_unified_78_41_#3电容器室东侧-41#球机_df72f80c98,#3电容器室东侧-41#球机,#3电容器室东侧-41#球机,41,41,11,
361,inspection,65,220kV枫树变,2025/9/9,2025/9/9,,,,智巡系统接入、调试,,,unresolved,,,,,,,,,
362,unified,42,110kV焦滩变,2025/9/16,2025/9/16,,,,#2主变北侧5#摄像机故障更换，硬盘增加一块8T,,#2主变北侧,unresolved,,,,,,,,,
363,unified,41,110kV洋浩变,2025/9/17,2025/9/17,,,,10kV开关室9#摄像机故障更换,,10kV开关室,matched,873,873,LEGACY_unified_41_9_10kV开关室东-9#球机_ad9b4a48ee,10kV开关室东-9#球机,10kV开关室东-9#球机,9,9,10,
365,unified,79,220kV松阳变,2025/10/13,2025/10/13,,,,大门南侧11#摄像机水晶头更换，硬盘增加一块8T，录像机故障更换,,大门南侧,matched,1771,1771,LEGACY_unified_79_11_大门南侧-11#球机_黑光_3b34bea8f8,大门南侧-11#球机(黑光）,大门南侧-11#球机(黑光）,11,11,9,
368,unified,40,110kV桃园变,2025/10/21,2025/10/21,,,,#2主变西南侧2#摄像机更换光纤收发器并更换尾纤,,#2主变西南侧,unresolved,,,,,,,,,
369,unified,66,110kV水阁变,2025/10/22,2025/10/22,,,10kV开关室西侧,10kV开关室西侧摄像机故障更换,,10kV开关室西侧,matched,1398,1398,LEGACY_unified_66_44_10kV开关室西侧-12#球机_05f0f0b815,10kV开关室西侧-12#球机,10kV开关室西侧-12#球机,12,12,12,
